kelime	sıklık	tür	okunuş	çeviri	seviye
the	1	article	/ðə; ði; ðiː/	(belirli durumlarda isimden önce kullanılır)	A1
be	2	verb	/bi; biː/	olmak	A1
and	3	conj.	/ənd; ən; n; ænd/	ve	A1
of	4	prepos.	/əv; ʌv/	nın-nin	A1
a	5	article	/ə; eɪ/	a	A1
in	6	prepos.	/ɪn/	(birşeyin)içinde	A1
have	8	verb	/həv; əv; hæv/	sahip olmak	A2
to	9	prepos.	/tə; tu; tuː/	-e/-a (yönelme)	A1
it	10	pronoun	/ɪt/	o(cansız, hayvan)	A1
I	11	pronoun	/aɪ/	Ben	A1
that	12	conj.	/ðæt/	-an, -en	B1
for	13	prepos.	/fər; fɔːr/	için	A1
he	15	pronoun	/hi; iː; i; hiː/	o(erkek)	A1
with	16	prepos.	/wɪð; wɪθ/	ile	A1
on	17	prepos.	/ɑːn/	üzerinde	A1
do	18	verb	/duː; də; du; doʊ/	yapmak	
say	20	verb	/seɪ/	demek	A1
they	21	pronoun	/ðeɪ/	onlar	A1
this	22	deter.	/ðɪs/	bu	B1
but	23	conj.	/bət; bʌt/	ama	B2
at	24	prepos.	/ət; æt/	-de, -da	A1
we	25	pronoun	/wi/	Biz	A1
his	26	article	/hɪz; ɪz/	onun(erkek)	A2
from	27	prepos.	/frəm; frʌm; frɑːm/	-den, itibaren	A1
that	28	deter.	/ðæt/	o(uzaktaki birşey)	B1
by	31	prepos.	/baɪ/	ile	B1
or	32	conj.	/ɔːr/	veya	A1
she	33	pronoun	/ʃi; ʃiː/	o	A1
as	34	conj.	/əz; æz/	olarak	A2
what	35	deter.	/wʌt/	ne	A1
go	36	verb	/ɡoʊ/	gitmek	B1
their	37	article	/ðer/	onların	A1
will	38	verb	/wɪl/	-cek, -acak	B1
who	39	pronoun	/huː/	kim	A1
can	40	verb	/kən; kæn/	yapabilmek	
get	41	verb	/ɡet/	almak	A1
if	42	conj.	/ɪf/	eğer	A1
all	43	deter.	/ɑːl/	hepsi	A2
would	44	verb	/wʊd/	-erdi,-ardı	A1
her	45	article	/hər; ɜːr; ər; hɜːr/	ona(dişi)	A1
make	46	verb	/meɪk/	yapmak	B2
about	47	prepos.	/əˈbaʊt/	hakkında	A1
my	48	article	/maɪ/	benim	A1
know	49	verb	/noʊ/	bilmek	A1
as	50	prepos.	/əz; æz/	olarak	A2
one	52	num.	/wʌn/	bir	A1
up	53	adv.	/ʌp/	yukarı	A1
time	54	noun	/taɪm/	zaman	B2
year	55	noun	/jɪr/	yıl	A1
so	56	adv.	/soʊ/	bu yüzden	A1
think	57	verb	/θɪŋk/	düşünmek	A1
see	58	verb	/siː/	görmek	A1
which	59	deter.	/wɪtʃ/	hangisi	A1
when	60	conj.	/wen/	ne zaman	A1
some	61	deter.	/sʌm; səm/	bazı	A1
them	62	pronoun	/ðəm; ðem/	onlara	A1
people	63	noun	/ˈpiːpl/	insanlar	A1
take	64	verb	/teɪk/	almak	A1
me	65	pronoun	/mi; miː/	Ben	A1
out	66	adv.	/aʊt/	dışarı	A1
into	67	prepos.	/ˈɪntə; ˈɪntu; ˈɪntuː/	içine	A1
just	68	adv.	/dʒʌst/	yalnızca	A1
